scorer,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000,DLC_dlcrnetms5_optopreycapFeb16shuffle1_150000
individuals,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse,single,single,single,single,single,single
bodyparts,nose,nose,nose,Rear,Rear,Rear,Lear,Lear,Lear,headbase,headbase,headbase,spine,spine,spine,tailbase,tailbase,tailbase,anteriorC,anteriorC,anteriorC,posteriorC,posteriorC,posteriorC
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,301.664,673.703,1.0,300.232,642.323,1.0,329.964,649.204,1.0,316.942,631.405,1.0,316.989,597.997,1.0,325.996,557.552,1.0,,,,,,
63,301.426,671.689,1.0,300.567,642.144,1.0,328.638,646.674,1.0,316.719,631.004,1.0,316.925,597.191,1.0,324.364,557.901,1.0,,,,,,
64,301.131,670.491,1.0,301.101,635.977,1.0,328.22,646.256,1.0,316.492,630.714,1.0,316.989,595.801,1.0,323.972,557.901,1.0,,,,,,
65,300.743,669.043,1.0,301.101,635.536,1.0,327.4,646.145,1.0,316.492,629.852,1.0,316.958,595.442,1.0,323.801,557.901,1.0,,,,,,
66,300.711,668.109,1.0,301.101,634.345,1.0,325.806,646.062,1.0,316.492,629.795,1.0,316.958,594.977,1.0,323.541,557.095,1.0,,,,,,
67,299.994,668.109,1.0,301.1,633.209,1.0,325.624,646.003,1.0,316.431,629.153,1.0,317.038,593.883,1.0,323.092,556.93,1.0,,,,,,
68,299.15,668.042,1.0,300.358,632.792,1.0,324.606,645.685,1.0,316.328,628.566,1.0,317.038,593.643,1.0,322.671,556.641,1.0,,,,,,
69,298.227,668.042,1.0,300.341,631.99,1.0,324.58,645.285,1.0,316.328,627.721,1.0,316.958,593.57,1.0,322.426,556.461,1.0,,,,,,
70,298.12,668.042,1.0,299.81,631.059,1.0,324.562,644.63,1.0,316.011,627.08,1.0,316.899,593.42,1.0,322.426,556.169,1.0,,,,,,
71,297.964,667.973,1.0,299.79,630.642,1.0,324.562,644.589,1.0,316.328,626.925,1.0,316.899,593.42,1.0,322.511,556.03,1.0,,,,,,
72,297.964,666.848,1.0,299.639,630.314,1.0,324.562,644.336,1.0,316.328,626.921,1.0,316.899,593.451,1.0,322.671,556.03,1.0,,,,,,
73,298.12,666.828,1.0,299.639,630.265,1.0,324.835,643.766,1.0,316.328,626.832,1.0,316.9,593.451,1.0,322.911,555.51,1.0,,,,,,
74,298.231,666.601,1.0,299.639,629.902,1.0,325.17,643.515,1.0,316.569,626.265,1.0,321.353,594.997,1.0,323.0,555.394,1.0,,,,,,
75,298.391,665.561,1.0,299.639,629.902,1.0,325.271,643.479,1.0,317.292,625.892,1.0,321.793,594.997,1.0,323.038,555.394,1.0,,,,,,
76,300.09,665.02,1.0,299.354,629.902,1.0,325.421,643.112,1.0,317.765,625.515,1.0,322.378,594.997,1.0,323.218,555.267,1.0,,,,,,
77,300.501,664.533,1.0,298.511,631.805,1.0,325.787,642.756,1.0,318.74,624.93,1.0,322.381,594.683,1.0,323.323,555.245,1.0,,,,,,
78,300.64,664.247,1.0,298.382,631.805,1.0,325.862,642.756,1.0,318.869,624.621,1.0,322.68,594.683,1.0,323.589,555.267,1.0,,,,,,
79,300.64,664.247,1.0,298.382,631.805,1.0,325.915,642.756,1.0,318.938,624.621,1.0,322.686,594.683,1.0,323.589,555.245,1.0,,,,,,
80,300.64,664.533,1.0,298.511,630.957,1.0,326.083,642.815,1.0,319.167,624.93,1.0,322.696,594.842,1.0,323.672,555.229,1.0,,,,,,
81,300.556,665.068,1.0,298.583,630.577,1.0,326.083,644.125,1.0,319.23,625.3,1.0,322.713,595.454,1.0,323.672,555.182,1.0,,,,,,
